task_id;instrument;pomieszczenie;pozycja;typ;typ_kod;LSD_L;LSD_R;LSD_avg;ILD_error_avg;LSD_63-125Hz;LSD_125-250Hz;LSD_250-500Hz;LSD_500-1000Hz;LSD_1000-2000Hz;LSD_2000-4000Hz;LSD_4000-8000Hz;LSD_8000-16000Hz;LSD_16000-24000Hz;ILD_err_63-125Hz;ILD_err_125-250Hz;ILD_err_250-500Hz;ILD_err_500-1000Hz;ILD_err_1000-2000Hz;ILD_err_2000-4000Hz;ILD_err_4000-8000Hz;ILD_err_8000-16000Hz;ILD_err_16000-24000Hz
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;26.565;28.021;27.293;1.021;8.472;8.252;9.922;10.684;9.731;11.15;11.65;27.425;36.703;0.178;2.333;1.374;0.03;0.471;1.101;0.145;2.335;1.224
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;32.447;33.199;32.823;1.011;8.473;8.252;9.921;10.679;9.727;11.155;11.649;36.117;42.347;0.178;2.333;1.374;0.031;0.472;1.105;0.145;2.325;1.138
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;38.344;39.092;38.718;1.08;8.474;8.252;9.921;10.681;9.73;11.151;28.094;47.299;42.423;0.178;2.333;1.376;0.029;0.472;1.104;0.176;2.459;1.595
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Kotwica (mono);anchor;28.371;28.864;28.617;1.253;8.348;8.158;10.112;12.264;10.882;10.328;11.817;29.377;38.167;0.971;1.76;2.757;0.395;2.225;0.89;1.436;0.724;0.118
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 48 kHz;aur48;34.199;31.334;32.766;2.62;14.635;10.703;12.897;15.477;13.694;13.156;14.572;34.785;42.283;1.924;2.526;2.32;0.671;1.075;0.322;3.518;3.311;7.91
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 24 kHz;aur24;37.255;36.314;36.784;2.567;14.636;10.703;12.895;15.47;13.687;13.155;14.568;40.822;46.582;1.924;2.526;2.32;0.672;1.076;0.322;3.519;3.369;7.375
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 12 kHz;aur12;41.924;42.548;42.236;2.68;14.638;10.703;12.892;15.472;13.691;13.155;31.653;50.637;46.614;1.923;2.526;2.32;0.67;1.074;0.321;3.614;5.307;6.364
2;Gitara klasyczna;Sala 123;Prawe ucho;Kotwica (mono);anchor;32.966;33.528;33.247;3.162;14.352;10.805;13.486;17.662;14.17;13.782;14.633;35.273;42.845;0.208;2.227;1.546;1.508;3.241;1.963;9.249;7.081;1.435
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;26.708;28.347;27.528;1.811;8.214;8.99;9.983;10.393;9.768;9.812;10.518;26.721;38.018;0.404;1.77;4.026;1.856;0.392;2.696;0.483;3.361;1.311
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;38.233;39.08;38.656;1.792;8.215;8.99;9.983;10.388;9.765;9.815;10.516;40.501;52.247;0.404;1.77;4.026;1.855;0.391;2.697;0.482;3.359;1.143
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;46.235;47.13;46.683;1.819;8.215;8.99;9.981;10.389;9.767;9.814;29.802;56.804;53.014;0.404;1.77;4.027;1.856;0.393;2.696;0.555;3.148;1.524
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Kotwica (mono);anchor;29.192;29.68;29.436;1.085;8.211;8.887;10.331;11.831;10.799;9.519;10.974;28.963;40.484;0.954;1.801;2.404;1.023;0.407;0.237;1.265;1.58;0.093
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 48 kHz;aur48;29.307;30.813;30.06;1.587;6.789;7.327;7.689;9.216;8.816;8.917;12.146;29.398;41.516;1.694;2.602;1.535;0.913;2.374;0.155;1.604;0.401;3.005
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 24 kHz;aur24;41.527;42.385;41.956;1.685;6.789;7.327;7.688;9.211;8.813;8.919;12.141;43.359;57.262;1.694;2.602;1.535;0.912;2.374;0.155;1.604;0.736;3.55
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 12 kHz;aur12;49.266;50.327;49.797;1.87;6.79;7.328;7.687;9.212;8.815;8.918;32.83;59.283;57.774;1.694;2.602;1.536;0.913;2.373;0.156;1.684;1.769;4.1
4;Kontrabas palcami;Studio;Na wprost;Kotwica (mono);anchor;31.8;32.676;32.238;1.301;6.778;7.176;7.936;9.854;9.189;8.632;13.3;32.273;44.027;1.461;2.159;1.671;0.06;0.949;1.366;0.209;0.934;2.9
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;29.765;31.71;30.738;2.293;10.926;14.038;14.685;15.553;14.445;13.517;15.026;31.502;39.953;0.45;1.251;1.407;0.125;0.546;3.181;2.085;4.475;7.119
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;38.313;37.942;38.127;1.811;10.927;14.038;14.685;15.549;14.442;13.517;15.022;41.11;49.292;0.45;1.251;1.408;0.125;0.546;3.183;2.084;4.477;2.777
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;46.724;44.657;45.69;1.974;10.927;14.039;14.683;15.549;14.443;13.517;33.837;55.886;49.366;0.45;1.251;1.408;0.125;0.546;3.187;2.05;5.594;3.151
5;Kontrabas smyczkiem;Studio;Lewe ucho;Kotwica (mono);anchor;32.58;30.756;31.668;4.317;10.774;14.147;14.936;17.565;14.986;13.591;15.959;32.862;40.771;1.341;3.272;1.318;4.831;4.205;5.903;6.706;10.34;0.933
