task_id;instrument;pomieszczenie;pozycja;typ;typ_kod;LSD_L;LSD_R;LSD_avg;ILD_error_avg;LSD_63-125Hz;LSD_125-250Hz;LSD_250-500Hz;LSD_500-1000Hz;LSD_1000-2000Hz;LSD_2000-4000Hz;LSD_4000-8000Hz;LSD_8000-16000Hz;LSD_16000-24000Hz;ILD_err_63-125Hz;ILD_err_125-250Hz;ILD_err_250-500Hz;ILD_err_500-1000Hz;ILD_err_1000-2000Hz;ILD_err_2000-4000Hz;ILD_err_4000-8000Hz;ILD_err_8000-16000Hz;ILD_err_16000-24000Hz
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 8 kHz;aur8;41.625;42.363;41.994;1.909;8.481;8.252;9.923;10.693;9.734;10.712;48.503;47.443;42.429;0.177;2.333;1.375;0.029;0.471;0.937;0.352;6.166;5.341
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 4 kHz;aur4;45.879;46.433;46.156;2.703;8.486;8.251;9.929;10.7;10.275;55.161;55.469;47.454;42.43;0.172;2.335;1.366;0.027;0.566;3.802;4.179;6.361;5.519
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 8 kHz;aur8;45.022;46.085;45.554;2.847;14.648;10.704;12.897;15.487;13.698;13.286;52.351;50.67;46.616;1.923;2.526;2.32;0.672;1.073;0.733;7.083;8.772;0.524
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 4 kHz;aur4;48.728;49.779;49.253;3.136;14.656;10.706;12.914;15.495;14.543;57.022;57.461;50.674;46.616;1.921;2.526;2.32;0.671;1.169;0.357;9.163;9.275;0.817
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 8 kHz;aur8;50.196;51.098;50.647;3.637;8.212;8.99;9.978;10.389;9.763;9.665;54.908;57.569;53.1;0.404;1.769;4.026;1.855;0.391;2.369;0.762;9.376;11.781
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 4 kHz;aur4;54.614;55.336;54.975;6.088;8.209;8.99;9.981;10.387;10.353;60.047;63.032;57.661;53.11;0.401;1.77;4.025;1.854;0.307;3.349;4.426;16.159;22.504
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 8 kHz;aur8;53.021;54.297;53.659;3.798;6.789;7.33;7.685;9.214;8.811;8.868;57.776;59.828;57.821;1.695;2.602;1.533;0.914;2.375;0.418;0.216;10.219;14.215
4;Kontrabas palcami;Studio;Na wprost;Auralizacja 4 kHz;aur4;56.909;58.163;57.536;1.255;6.789;7.331;7.69;9.211;9.392;59.008;64.811;59.89;57.827;1.699;2.601;1.532;0.915;2.444;0.079;0.273;0.953;0.799
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 8 kHz;aur8;50.719;48.275;49.497;3.241;10.896;14.067;14.668;15.515;14.412;13.659;56.949;56.197;49.372;0.451;1.251;1.407;0.127;0.547;3.238;2.399;3.873;15.875
5;Kontrabas smyczkiem;Studio;Lewe ucho;Auralizacja 4 kHz;aur4;54.996;52.29;53.643;3.803;10.744;14.229;14.609;15.324;14.791;58.198;64.658;56.251;49.373;0.451;1.25;1.407;0.125;0.668;1.696;4.904;7.091;16.634
