task_id;instrument;pomieszczenie;pozycja;typ;typ_kod;lag_samples;lag_ms;LSD_L;LSD_R;LSD_avg;ILD_error_avg;LSD_63-125Hz;LSD_125-250Hz;LSD_250-500Hz;LSD_500-1000Hz;LSD_1000-2000Hz;LSD_2000-4000Hz;LSD_4000-8000Hz;LSD_8000-16000Hz;LSD_16000-24000Hz;ILD_err_63-125Hz;ILD_err_125-250Hz;ILD_err_250-500Hz;ILD_err_500-1000Hz;ILD_err_1000-2000Hz;ILD_err_2000-4000Hz;ILD_err_4000-8000Hz;ILD_err_8000-16000Hz;ILD_err_16000-24000Hz
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;1400;29.167;26.477;27.943;27.21;0.995;6.979;6.735;9.216;10.214;9.266;10.618;11.216;27.404;36.7;0.178;2.333;1.373;0.029;0.471;1.101;0.145;2.334;0.992
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;1400;29.167;32.378;33.138;32.758;1.967;6.98;6.735;9.216;10.208;9.261;10.623;11.214;36.1;42.347;0.178;2.333;1.374;0.03;0.472;1.105;0.145;2.324;9.744
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Auralizacja 12 kHz;aur12;1400;29.167;38.293;39.048;38.671;3.401;6.982;6.736;9.215;10.21;9.265;10.62;27.933;47.298;42.423;0.178;2.333;1.376;0.027;0.472;1.104;0.176;6.221;18.719
1;Gitara klasyczna;Korytarz ZEA;Na wprost;Kotwica (mono);anchor;1400;29.167;28.287;28.789;28.538;1.253;6.944;6.6;9.467;11.983;10.552;9.73;11.397;29.347;38.164;0.971;1.76;2.757;0.395;2.225;0.89;1.436;0.724;0.118
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 48 kHz;aur48;4472;93.167;34.055;31.068;32.561;2.612;14.008;8.168;11.571;14.357;12.23;11.345;13.477;34.762;42.285;1.924;2.526;2.32;0.676;1.075;0.322;3.518;3.309;7.841
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 24 kHz;aur24;4472;93.167;37.123;36.082;36.602;1.807;14.008;8.168;11.569;14.349;12.222;11.343;13.472;40.796;46.582;1.924;2.526;2.32;0.678;1.076;0.322;3.519;3.368;0.532
2;Gitara klasyczna;Sala 123;Prawe ucho;Auralizacja 12 kHz;aur12;4472;93.167;41.815;42.381;42.098;2.222;14.011;8.168;11.565;14.351;12.227;11.343;31.263;50.636;46.614;1.923;2.526;2.32;0.676;1.074;0.321;3.614;7.36;0.181
2;Gitara klasyczna;Sala 123;Prawe ucho;Kotwica (mono);anchor;4472;93.167;32.837;33.284;33.061;3.162;13.658;8.311;12.333;16.834;12.886;12.118;13.739;35.259;42.847;0.208;2.227;1.546;1.508;3.241;1.963;9.249;7.081;1.435
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 48 kHz;aur48;1392;29.0;26.664;28.306;27.485;1.807;6.598;7.523;9.426;9.843;9.308;9.553;10.381;26.711;38.013;0.404;1.769;4.026;1.856;0.392;2.696;0.483;3.361;1.278
3;Kontrabas palcami;Korytarz ZEA;Na wprost;Auralizacja 24 kHz;aur24;1392;29.0;38.204;39.054;38.629;1.795;6.598;7.523;9.426;9.839;9.304;9.556;10.38;40.497;52.247;0.404;1.769;4.026;1.855;0.391;2.697;0.482;3.358;1.172
